===========================================
IRS-90 Sensor LED Controller
Function: Read sensor status and control LEDs
===========================================
Device initialization successful:
  - IRS-90 sensor: /dev/irs90_all
  - LED controller: /dev/led_all (fd=3)
Initial state: All LEDs off
[15:58:55] Sensor: 000 -> LED: 000
.[15:59:00] Sensor: 111 -> LED: 111
[15:59:01] Sensor: 110 -> LED: 110
[15:59:01] Sensor: 100 -> LED: 100
[15:59:01] Sensor: 000 -> LED: 000
[15:59:01] Sensor: 100 -> LED: 100
[15:59:02] Sensor: 110 -> LED: 110
[15:59:02] Sensor: 010 -> LED: 010
[15:59:02] Sensor: 001 -> LED: 001
[15:59:02] Sensor: 111 -> LED: 111
[15:59:03] Sensor: 000 -> LED: 000
[15:59:03] Sensor: 110 -> LED: 110
[15:59:03] Sensor: 111 -> LED: 111
[15:59:03] Sensor: 110 -> LED: 110
[15:59:04] Sensor: 111 -> LED: 111
[15:59:04] Sensor: 000 -> LED: 000
[15:59:05] Sensor: 111 -> LED: 111
[15:59:05] Sensor: 000 -> LED: 000
[15:59:06] Sensor: 111 -> LED: 111
[15:59:06] Sensor: 000 -> LED: 000
[15:59:08] Sensor: 111 -> LED: 111
.[15:59:12] Sensor: 000 -> LED: 000
[15:59:12] Sensor: 111 -> LED: 111
[15:59:13] Sensor: 010 -> LED: 010
[15:59:13] Sensor: 000 -> LED: 000
[15:59:18] Sensor: 010 -> LED: 010
[15:59:18] Sensor: 111 -> LED: 111
[15:59:18] Sensor: 000 -> LED: 000
....
